Vehicle_ID,Vehicle_Type,Brand,Model,Seating_Capacity,Color,Fuel_Type,Mileage_kmpl,NOx_Emissions,CO2_Emissions,Final_Verdict,Price
V0167,Bike,Yamaha,MT-15,2,Blue,Electric,45.3,0.0,0.0,Eco-Friendly,1.47063
V0168,Van,Tata,Altroz,12,Blue,Diesel,20.1,0.58,171.4,Commercial Use,95.14
V0169,Bike,TVS,Apache,2,Red,Diesel,41.9,1.23,205.5,Fuel Efficient,85.39
V0170,Van,Force,Traveller,9,White,Petrol,19.9,1.09,171.1,Commercial Use,92.51
V0171,Car,Ford,Ecosport,4,Black,Electric,40.1,0.0,0.0,Eco-Friendly,32.18438
V0172,Van,Toyota,Fortuner,7,White,Petrol,11.0,0.54,221.9,Commercial Use,95.32
V0173,Car,Maruti Suzuki,Baleno,4,White,CNG,12.7,1.6,149.7,High Performance,69.66
V0174,Bike,Royal Enfield,Meteor,2,Grey,Diesel,24.7,0.13,58.2,Budget Vehicle,92.19
V0175,Car,Hyundai,Creta,5,Green,CNG,11.0,1.6,52.7,High Performance,69.43
V0176,Bike,Bajaj,Pulsar,2,Grey,CNG,18.7,0.53,233.5,Budget Vehicle,60.33
V0177,Bike,Royal Enfield,Meteor,2,White,Diesel,39.1,2.0,238.2,Fuel Efficient,96.26
V0178,Bike,Bajaj,Avenger,2,Blue,Electric,19.5,0.0,0.0,Eco-Friendly,2.68979
V0179,Bike,Suzuki,Access,2,Green,Electric,45.0,0.0,0.0,Eco-Friendly,1.66124
V0180,Bike,Suzuki,Access,2,White,Petrol,23.4,1.78,68.1,High Performance,104.13
V0181,Car,Maruti Suzuki,Baleno,4,Black,Petrol,10.5,1.18,135.4,Budget Vehicle,99.18
V0182,Bike,TVS,Apache,2,Grey,CNG,46.4,0.76,159.2,Fuel Efficient,65.34
V0183,Car,Ford,Ecosport,7,Green,Diesel,46.6,1.62,155.4,Fuel Efficient,99.78
V0184,Bike,Yamaha,MT-15,2,Silver,Diesel,19.0,0.27,222.9,Budget Vehicle,99.14
V0185,Van,Mahindra,Jeeto,7,Grey,Diesel,47.3,0.42,134.6,Fuel Efficient,99.46
V0186,Auto,Piaggio,Ape,3,Grey,CNG,21.5,0.83,111.4,Commercial Use,72.3
V0187,Auto,Bajaj,Pulsar,3,Silver,Petrol,17.9,0.17,74.9,Commercial Use,95.9
V0188,Car,Ford,Aspire,7,White,Electric,16.9,0.0,0.0,Eco-Friendly,36.8031
V0189,Bike,Yamaha,FZ,2,Blue,CNG,12.8,1.73,61.8,High Performance,69.34
V0190,Car,Ford,Figo,4,Blue,Petrol,12.2,0.77,204.6,Luxury Vehicle,101.22
V0191,Car,Tata,Nexon,7,Blue,CNG,43.9,1.29,163.5,Fuel Efficient,63.16
V0192,Car,Ford,Aspire,7,Silver,Petrol,46.8,1.94,200.8,Fuel Efficient,104.17
V0193,Van,Tata,Nexon,9,Black,CNG,10.1,1.75,166.6,High Performance,76.15
V0194,Bike,Suzuki,Access,2,Blue,Diesel,34.3,0.22,60.9,Budget Vehicle,95.22
V0195,Bike,TVS,Jupiter,2,White,Petrol,13.5,1.65,106.9,High Performance,96.04
V0196,Bike,Honda,City,2,Blue,Diesel,43.8,0.49,107.2,Fuel Efficient,98.9
V0197,Bike,Yamaha,R15,2,Black,Electric,44.2,0.0,0.0,Eco-Friendly,1.23801
V0198,Van,Toyota,Corolla,12,Blue,Petrol,10.9,0.67,137.5,Commercial Use,96.4
V0199,Van,Toyota,Fortuner,12,Red,CNG,45.0,0.11,157.3,Fuel Efficient,75.72
V0200,Van,Tata,Nexon,12,Green,CNG,14.0,1.55,78.1,High Performance,60.79
V0201,Auto,TVS,NTorq,3,Blue,Diesel,22.3,1.61,147.8,High Performance,89.79
V0202,Bike,Honda,City,2,Green,Electric,15.8,0.0,0.0,Eco-Friendly,1.53169
V0203,Van,Toyota,Fortuner,7,Blue,Electric,20.8,0.0,0.0,Eco-Friendly,8.31551
V0204,Bike,Suzuki,Gixxer,2,Grey,CNG,39.7,1.77,50.9,Fuel Efficient,74.73
V0205,Van,Force,Traveller,7,White,Electric,25.3,0.0,0.0,Eco-Friendly,11.7836
V0206,Van,Force,Traveller,12,Yellow,CNG,48.6,1.76,205.2,Fuel Efficient,68.89
V0207,Car,Ford,Figo,7,Silver,Petrol,47.8,1.43,91.5,Fuel Efficient,104.15
V0208,Bike,Bajaj,Avenger,2,Grey,Diesel,34.6,1.31,181.6,Budget Vehicle,90.96
V0209,Car,Honda,City,7,Grey,CNG,26.5,0.98,74.9,Luxury Vehicle,62.49
V0210,Bike,Bajaj,Avenger,2,Black,CNG,39.8,1.39,105.5,Fuel Efficient,64.23999
V0211,Van,Mahindra,Bolero,9,Yellow,CNG,16.4,1.24,112.0,Commercial Use,78.38
V0212,Car,Hyundai,Verna,5,Black,CNG,26.9,1.15,147.5,Budget Vehicle,68.0
V0213,Van,Toyota,Corolla,9,Grey,Diesel,25.2,1.11,172.3,Commercial Use,95.42
V0214,Bike,Honda,Jazz,2,Silver,Electric,44.4,0.0,0.0,Eco-Friendly,1.63099
V0215,Auto,Piaggio,Porter,3,Yellow,Diesel,19.8,0.15,88.9,Commercial Use,92.58
V0216,Van,Mahindra,Supro,12,Green,Diesel,18.0,1.29,86.9,Commercial Use,99.45
V0217,Van,Toyota,Fortuner,9,Yellow,Petrol,45.6,1.27,73.3,Fuel Efficient,103.15
V0218,Van,Force,Toofan,7,Black,Diesel,10.3,1.61,182.9,High Performance,92.46
V0219,Bike,Suzuki,Burgman,2,Silver,Diesel,39.1,1.02,177.7,Fuel Efficient,93.44
V0220,Auto,Piaggio,Porter,3,Green,Diesel,28.0,1.68,67.2,High Performance,86.02
V0221,Van,Tata,Harrier,9,Blue,Diesel,14.0,1.52,105.2,High Performance,97.26
V0222,Auto,TVS,Jupiter,3,Blue,Electric,20.2,0.0,0.0,Eco-Friendly,11.31236
V0223,Auto,Mahindra,Bolero,3,Grey,Petrol,21.5,1.55,214.9,High Performance,91.14
V0224,Bike,Royal Enfield,Classic 350,2,Grey,CNG,36.7,1.87,161.5,Fuel Efficient,75.34
V0225,Bike,Bajaj,Chetak,2,Silver,CNG,32.2,1.21,174.3,Budget Vehicle,79.36
V0226,Auto,Mahindra,Jeeto,3,Black,Electric,21.0,0.0,0.0,Eco-Friendly,8.0389
V0227,Van,Toyota,Fortuner,7,Green,Electric,12.8,0.0,0.0,Eco-Friendly,8.41606
V0228,Car,Toyota,Fortuner,7,Silver,Petrol,12.2,1.54,124.5,High Performance,99.12
V0229,Bike,Suzuki,Gixxer,2,White,Electric,44.9,0.0,0.0,Eco-Friendly,2.88988
V0230,Auto,Mahindra,Bolero,3,White,Electric,20.1,0.0,0.0,Eco-Friendly,11.49457
V0231,Auto,Mahindra,Jeeto,3,Green,Petrol,29.5,0.85,164.5,Commercial Use,97.53
V0232,Auto,Piaggio,Porter,3,Blue,CNG,17.4,0.83,149.7,Commercial Use,64.22
V0233,Van,Tata,Altroz,9,Red,Petrol,40.9,1.27,138.3,Fuel Efficient,94.19
V0234,Car,Toyota,Corolla,4,Red,Electric,31.6,0.0,0.0,Eco-Friendly,13.58659
V0235,Auto,Bajaj,Avenger,3,Blue,CNG,17.7,1.38,82.6,Commercial Use,72.8
V0236,Car,Toyota,Corolla,5,Blue,Electric,31.5,0.0,0.0,Eco-Friendly,23.0702
V0237,Bike,Bajaj,Chetak,2,Red,CNG,12.9,0.86,218.9,Budget Vehicle,60.1
V0238,Bike,Bajaj,Pulsar,2,Green,Petrol,46.5,0.6,198.5,Fuel Efficient,99.11
V0239,Van,Tata,Altroz,12,Grey,Electric,48.2,0.0,0.0,Eco-Friendly,10.39931
V0240,Car,Ford,Ecosport,7,Green,CNG,29.9,1.76,107.5,High Performance,64.36
V0241,Car,Maruti Suzuki,Ertiga,7,Yellow,CNG,49.2,0.81,215.5,Fuel Efficient,68.94
V0242,Bike,Yamaha,MT-15,2,Black,CNG,20.9,1.54,133.6,High Performance,75.23
V0243,Car,Tata,Altroz,4,Black,Electric,37.3,0.0,0.0,Eco-Friendly,16.23533
V0244,Van,Force,Toofan,12,White,Electric,24.5,0.0,0.0,Eco-Friendly,10.05041
V0245,Bike,TVS,Apache,2,Green,CNG,37.9,0.75,176.4,Fuel Efficient,73.06
V0246,Car,Ford,Ecosport,5,Red,Electric,20.3,0.0,0.0,Eco-Friendly,18.11414
V0247,Car,Honda,Amaze,7,Black,Petrol,17.5,0.93,179.0,Luxury Vehicle,104.33
V0248,Bike,Honda,Amaze,2,Grey,CNG,39.9,0.24,240.6,Fuel Efficient,64.09999
V0249,Car,Tata,Nexon,4,Black,Petrol,38.7,1.85,102.1,Fuel Efficient,97.09
V0250,Van,Tata,Altroz,12,Black,Electric,11.1,0.0,0.0,Eco-Friendly,10.07624
V0251,Van,Force,Traveller,7,White,Petrol,15.8,0.62,205.3,Commercial Use,100.08
V0252,Car,Tata,Altroz,4,Blue,Diesel,38.9,1.92,248.9,Fuel Efficient,92.54
V0253,Bike,Bajaj,Chetak,2,Red,CNG,37.7,1.93,217.9,Fuel Efficient,64.41
V0254,Auto,Piaggio,Porter,3,Yellow,Petrol,22.4,0.98,150.9,Commercial Use,109.78
V0255,Car,Maruti Suzuki,Baleno,4,Green,CNG,32.8,1.31,135.0,Budget Vehicle,76.29
V0256,Auto,Bajaj,Avenger,3,Blue,Electric,24.4,0.0,0.0,Eco-Friendly,8.68148
V0257,Car,Toyota,Fortuner,4,Red,CNG,10.0,1.35,178.4,Luxury Vehicle,61.52
V0258,Bike,TVS,Apache,2,Grey,Petrol,43.0,1.66,227.9,Fuel Efficient,104.21
V0259,Car,Ford,Aspire,7,Black,Petrol,18.1,0.83,209.4,Luxury Vehicle,98.74
V0260,Car,Toyota,Fortuner,4,Silver,Electric,17.7,0.0,0.0,Eco-Friendly,20.38916
V0261,Auto,Bajaj,Avenger,3,Silver,Petrol,21.6,0.49,240.6,Commercial Use,97.87
V0262,Auto,Bajaj,Chetak,3,Red,Petrol,19.4,1.35,163.7,Commercial Use,106.49
V0263,Car,Tata,Harrier,7,Red,Electric,16.7,0.0,0.0,Eco-Friendly,34.83638
V0264,Car,Honda,Amaze,7,Grey,Diesel,45.1,0.18,74.4,Fuel Efficient,90.88
V0265,Auto,Mahindra,Supro,3,Red,Electric,15.5,0.0,0.0,Eco-Friendly,10.51995
V0266,Car,Maruti Suzuki,Baleno,5,Silver,CNG,42.7,0.24,200.4,Fuel Efficient,69.31999
